序号|股票代码|股票简称|现价|涨跌幅(%)|所属行业|最新流通市值(元)|所属概念|概念个数
153|002195|岩山科技|8.61|-1.82|产业互联网|48386867200|智能机器;华为鸿蒙;云游戏;短剧游戏;多模态AI;DeepSeek;人工智能;腾讯概念;人形机器;国产软件;区块链;创投概念;云计算;网络游戏;信息安全;数据中心;抖音概念;AIGC概念;大数据;小米概念;人脑工程;元宇宙;AI智能体;阿里概念;百度概念;AI手机PC;智能医疗;无人驾驶|28
154|002202|金风科技|27.55|7.07|风电设备|92664553472|氢能源;工业互联;商业航天;储能;碳中和;智能电网;含H股;风电;特高压;绿色电力;东数西算|11
155|002203|海亮股份|17.99|-0.06|工业金属|39796420608|绿色电力;镍金属;液冷服务;复合铜箔;锂电池;光伏;特斯拉;钒电池;钴金属;固态电池|10
156|002217|合力泰|2.89|-5.86|消费电子|21037242368|东数西算;智能机器;消费电子;电子纸;算力租赁;汽车电子;OLED概念;虚拟现实;海峡西岸;5G概念;创投概念;智能穿戴;小米概念;新能源车;工业互联;ETC概念;PCB概念;折叠屏|18
157|002222|福晶科技|86.82|-0.2|光学光电|40644931584|海峡西岸;光通信;虚拟现实;无人驾驶|4
158|002223|鱼跃医疗|29.28|-0.41|医疗器械|27590354944|幽门菌;智能医疗;口罩防护;婴童概念;养老概念;血氧仪;雅江水电|7
159|002230|科大讯飞|47.79|-0.56|软件服务|104626290688|智慧城市;东数西算;数字孪生;AIGC概念;数据要素;华为算力;通达信88;云计算;安防服务;智能穿戴;大数据;无线耳机;人脑工程;元宇宙;AI智能体;工业互联;机器视觉;阿里概念;智能医疗;智能机器;智能家居;量子科技;消费电子;智慧政务;算力租赁;英伟达;多模态AI;车联网;DeepSeek;家庭医生;ChatGPT;人工智能;人形机器;国产软件|34
160|002236|大华股份|18.49|1.09|IT设备|44211937280|智慧城市;数据中心;MiniLED;东数西算;时空数据;数字孪生;边缘计算;毫米雷达;数据要素;华为算力;智能电网;物联网;5G概念;水利建设;卫星导航;安防服务;智能交通;充电桩;养老概念;信息安全;乡村振兴;远程办公;星闪概念;低空经济;AI智能体;工业互联;超清视频;MicroLED;机器视觉;无人驾驶;智能机器;智能家居;PPP概念;华为鸿蒙;多模态AI;车联网;DeepSeek;汽车电子;无人机;新型工业;OLED概念;人工智能;腾讯概念;信创;存储芯片;国产软件;虚拟现实|47
161|002240|盛新锂能|60.09|9.99|能源金属|54856691712|盐湖提锂;锂矿;固态电池;锂电池;稀土永磁|5
162|002241|歌尔股份|24.5|-0.81|消费电子|76988841984|物联网;创投概念;3D打印;苹果概念;智能穿戴;智能机器;智能家居;消费电子;汽车电子;无人机;人工智能;AI眼镜;虚拟现实;小米概念;无线耳机;元宇宙;混合现实;星闪概念;工业互联;MicroLED;芯片|21
163|002244|滨江集团|9.55|1.6|房地产开发|26334597120|养老概念;固态电池;租购同权;乡村振兴;物业管理|5
164|002245|蔚蓝锂芯|20.66|-2.91|电池|22427262976|小米概念;钠电池;飞行汽车;芯片;储能;智能机器;智能家居;固态电池;无人机;人形机器;锂电池;创投概念;一带一路;数据中心;MiniLED;三代半导|16
165|002252|上海莱士|5.56|0.18|生物制品|36883816448|创新药;合成生物|2
166|002261|拓维信息|35.44|1.52|云服务|40617975808|物联网;云计算;智能交通;网络游戏;婴童概念;智能机器;华为鸿蒙;智慧政务;算力租赁;车联网;DeepSeek;人工智能;信创;国产软件;智慧城市;东数西算;操作系统;边缘计算;华为算力;大数据;工业互联;阿里概念;华为海思;AI医疗|24
167|002265|建设工业|22.51|1.58|地面兵装|23253739520|国防军工;新能源车;无人驾驶;军工信息;智能机器;汽车电子;无人机;军贸概念|8
168|002266|浙富控股|5.28|4.76|环境治理|25568849920|钴金属;可控核变;汽车拆解;电池回收;通达信88;黄金概念;核电核能;水利建设;创投概念;高端装备;一带一路;绿色电力;镍金属;雅江水电|14
169|002270|华明装备|24.49|-3.16|电网设备|21948209152|智能机器;特高压;光伏;高端装备;绿色电力;工业母机|6
170|002271|东方雨虹|14.96|-0.6|装饰建材|28640798720|数据中心;绿色电力;新材料;雄安新区;新型城镇;中特估;BIPV概念;装配建筑;储能;高铁;核电核能;水利建设;光伏;节能环保;充电桩;一带一路|16
171|002273|水晶光电|33|-0.99|光学光电|44948590592|小米概念;元宇宙;CPO概念;超清视频;储能;AI手机PC;智能机器;消费电子;汽车电子;人形机器;AI眼镜;虚拟现实;苹果概念;安防服务;智能穿戴|15
172|002281|光迅科技|144.28|8.59|通信设备|112466092032|数据中心;东数西算;液冷服务;抖音概念;CPO概念;阿里概念;芯片;百度概念;量子科技;6G概念;腾讯概念;光通信;5G概念;云计算|14
173|002290|禾盛新材|81.28|5.63|家电零部件|20092098560|东数西算;芯片;智能医疗;DeepSeek;人工智能|5
174|002294|信立泰|51.29|-1.18|化学制药|57166077952|仿制药;创新药;减肥药|3
175|002299|圣农发展|18.6|-0.05|养殖业|22672242688|预制菜;食品安全;鸡肉|3
176|002304|洋河股份|49.23|-1.1|酿酒|74160537600|白酒概念|1
177|002311|海大集团|49.98|0.34|饲料|82174787584|猪肉;宠物经济|2
178|002312|川发龙蟒|10.95|-2.14|农用化工|20627820544|磷概念;化肥概念;锂电池|3
179|002318|久立特材|30.12|-1.12|特钢|28755228672|临界发电;可控核变;新材料;核电核能|4
180|002335|科华数据|60.89|-1.47|其他发电设备|27684800512|海峡西岸;智能电网;5G概念;锂电池;核电核能;光伏;云计算;充电桩;大数据;氢能源;小红书;AI智能体;阿里概念;储能;无人驾驶;数据中心;东数西算;液冷服务;边缘计算;量子科技;智慧政务;算力租赁;DeepSeek;人工智能;腾讯概念|25
181|002340|格林美|9.14|-5.19|电池|46391533568|大数据;氢能源;低空经济;新能源车;汽车拆解;钠电池;电池回收;储能;智能机器;钴金属;固态电池;含GDR;含GDR;燃料电池;碳中和;稀缺资源;锂电池;稀土永磁;光伏;节能环保;石墨烯;一带一路;特斯拉;绿色电力;镍金属;垃圾分类|26
182|002352|顺丰控股|37.1|0.71|物流|176967417856|跨境电商;冷链物流;数据要素;含H股;智能机器;无人机;人工智能;区块链;低空经济;无人驾驶|10
183|002353|杰瑞股份|137|7.66|专用设备|94672289792|电池回收;储能;天然气;核电核能;可燃冰;页岩气;高端装备;一带一路;数据中心;中俄贸易|10
184|002364|中恒电气|40.79|2.62|其他发电设备|22765053952|碳中和;智能电网;5G概念;核电核能;水利建设;充电桩;腾讯概念;特高压;国产软件;数据中心;东数西算;数字孪生;高压快充;氢能源;换电概念;新能源车;工业互联;阿里概念;百度概念;储能;虚拟电厂|21
185|002371|北方华创|536.99|5.15|半导体|388916772864|OLED概念;存储芯片;芯片;华为海思;通达信88;锂电池;三代半导|7
186|002378|章源钨业|33.86|2.86|稀有金属|40466812928|稀缺资源;光伏;工业母机|3
187|002379|宏桥控股|24.9|-1.43|工业金属|28295708672||0
188|002384|东山精密|186.73|1.35|元器件|258867838976|数据中心;MiniLED;高压快充;小米概念;CPO概念;新能源车;芯片;AI手机PC;PCB概念;智能机器;消费电子;口罩防护;人形机器;5G概念;苹果概念;智能穿戴;特斯拉|17
189|002389|航天彩虹|21.97|1.52|航空装备|21635201024|无人机;军民融合;人工智能;军贸概念;低空经济;折叠屏;国防军工;光伏;碳纤维;苹果概念;石墨烯;特斯拉;MiniLED;新材料|14
190|002402|和而泰|31.66|2.1|其他电子|25759143936|智能机器;智能家居;DeepSeek;粤港澳;汽车电子;新型工业;人工智能;人形机器;物联网;5G概念;国防军工;卫星导航;智能穿戴;三代半导;大数据;小米概念;AI智能体;机器视觉;商业航天;芯片;储能;热管理;华为海思|23
191|002405|四维图新|9.03|1.46|软件服务|21270941696|智能机器;华为鸿蒙;汽车芯片;车联网;DeepSeek;汽车电子;无人机;人工智能;华为汽车;小米汽车;人形机器;国产软件;区块链;国防军工;卫星导航;智能交通;充电桩;智能穿戴;特斯拉;智慧城市;时空数据;操作系统;抖音概念;MCU芯片;数据要素;大数据;星闪概念;低空经济;商业航天;阿里概念;芯片;胎压监测;无人驾驶|33
192|002407|多氟多|36.31|1.23|化学制品|39170039808|氟概念;三代半导;数字孪生;锂电池;创投概念;特斯拉;新能源车;钠电池;电池回收;芯片;储能;固态电池;口罩防护;存储芯片|14
193|002409|雅克科技|84.71|0.92|半导体|26982064128|工业气体;芯片;磷概念;天然气;OLED概念;特高压;存储芯片;氟概念;光刻机;聚氨酯|10
194|002414|高德红外|14.83|3.27|军工电子|50401423360|毫米雷达;华为算力;智能机器;智能家居;华为鸿蒙;车联网;汽车电子;无人机;军民融合;军贸概念;低空经济;先进封装;机器视觉;商业航天;芯片;无人驾驶;智能电网;国防军工;生物疫苗;高端装备;安防服务|21
195|002415|海康威视|36.29|4.25|IT设备|328293941248|通达信88;物联网;云计算;安防服务;智能交通;养老概念;智能机器;智能家居;智慧政务;多模态AI;汽车电子;无人机;人工智能;光通信;存储芯片;智慧城市;边缘计算;大数据;工业互联;超清视频;机器视觉;无人驾驶|22
196|002422|科伦药业|34.57|1.38|化学制药|44893024256|幽门菌;创新药;合成生物;仿制药;肝炎概念|5
197|002423|中粮资本|10.24|-0.19|多元金融|23594041344|乡村振兴;养老概念;人工智能;中特估;区块链|5
198|002428|云南锗业|70.01|1.14|稀有金属|45719023616|商业航天;芯片;光通信;氟概念;三代半导;稀缺资源;卫星导航;光伏|8
199|002429|兆驰股份|11.05|-1.87|黑色家电|49993875456|5G概念;智能家居;消费电子;华为鸿蒙;短剧游戏;粤港澳;光通信;小米概念;CPO概念;超清视频;MicroLED;先进封装;阿里概念;芯片;PCB概念;数据中心;MiniLED;三代半导;抖音概念;AIGC概念|20
200|002430|杭氧股份|31.43|-2.48|专用设备|30736574464|超导概念;可控核变;存储芯片;含可转债;高端装备;一带一路;氢能源;工业气体;商业航天;芯片;储能;天然气|12
201|002432|九安医疗|73.5|-2.21|医疗器械|31407695872|创投概念;新零售;智能穿戴;养老概念;小米概念;智能医疗;跨境电商;血氧仪|8
202|002436|兴森科技|27.71|0.91|元器件|42061852672|智能机器;粤港澳;6G概念;光通信;存储芯片;CPO概念;低空经济;先进封装;商业航天;芯片;华为海思;PCB概念;毫米雷达;5G概念|14
203|002444|巨星科技|34.19|-1.3|通用设备|39206666240|安防服务;芯片;储能;无人驾驶;智能机器;智能家居;口罩防护;含GDR;含GDR;跨境电商|10
204|002456|欧菲光|8.71|-0.23|消费电子|28894519296|小米概念;元宇宙;混合现实;星闪概念;机器视觉;折叠屏;无人驾驶;智能机器;智能家居;消费电子;车联网;汽车电子;OLED概念;人形机器;AI眼镜;虚拟现实;智慧城市;毫米雷达|18
205|002459|晶澳科技|10.87|1.12|光伏设备|35933814784|绿色电力;TOPCon;钙钛矿;BC电池;雄安新区;DeepSeek;HJT电池;储能;含可转债;高铁;光伏;风电;一带一路|13
206|002460|赣锋锂业|88.68|2.05|能源金属|107410808832|含H股;锂电池;光伏;充电桩;特斯拉;消费电子;钴金属;固态电池;无人机;人形机器;燃料电池;新材料;无线耳机;盐湖提锂;低空经济;新能源车;锂矿;电池回收;储能|19
207|002461|珠江啤酒|10.38|0.58|酿酒|22974349312|粤港澳;新零售|2
208|002463|沪电股份|102.57|0.58|元器件|197222678528|数据中心;毫米雷达;5G概念;云计算;汽车电子;芯片;PCB概念;无人驾驶|8
209|002465|海格通信|16.1|5.02|军工电子|39893983232|人脑工程;低空经济;商业航天;芯片;无人驾驶;物联网;5G概念;国防军工;卫星导航;云计算;智能交通;智能穿戴;智慧城市;大飞机;时空数据;军工信息;操作系统;智能机器;车联网;DeepSeek;粤港澳;无人机;军民融合;6G概念;人工智能;国产软件;虚拟现实|27
210|002466|天齐锂业|80.03|5.97|能源金属|118109790208|固态电池;含H股;锂电池;特斯拉;盐湖提锂;新能源车;锂矿;电池回收;化肥概念|9
211|002468|申通快递|16.35|-1.33|物流|23938138112|冷链物流;乡村振兴;阿里概念;人工智能|4
212|002472|双环传动|39.27|2.53|汽车零部件|29393815552|新能源车;减速器;绿色电力;高铁;创投概念;光伏;高端装备;特斯拉;智能机器;智能家居|10
213|002475|立讯精密|67|-2.39|消费电子|487041302528|通达信88;含可转债;5G概念;苹果概念;充电桩;智能穿戴;数据中心;液冷服务;毫米雷达;智能机器;消费电子;粤港澳;汽车电子;人形机器;AI眼镜;虚拟现实;无线耳机;CPO概念;混合现实;新能源车;机器视觉;铜缆连接;芯片;无人驾驶|24
214|002484|江海股份|38.35|0.45|元器件|31465109504|新能源车;储能;5G概念;智能机器;可控核变;人形机器;东数西算;超级电容|8
215|002487|大金重工|84|-1.72|风电设备|52997308416|高端装备;风电;航运概念;绿色电力|4
216|002493|荣盛石化|13.95|2.27|化纤|130266046464|中特估;POE胶膜;光伏;一带一路|4
217|002497|雅化集团|30.67|1.29|能源金属|32497551360|国防军工;锂电池;特斯拉;工业互联;锂矿;雅江水电;智能机器;固态电池;军民融合|9
218|002498|汉缆股份|8.72|-3.33|电网设备|29009661952|无人机;特高压;燃料电池;氢能源;储能;海洋经济;智能电网;5G概念;核电核能;风电;充电桩;一带一路|12
219|002500|山西证券|5.65|0.53|证券|20282210304|创投概念|1
220|002506|协鑫集成|4.23|-1.4|光伏设备|24721971200|BIPV概念;钒电池;HJT电池;储能;碳中和;光伏;光热发电;区块链;绿色电力;TOPCon;钙钛矿;BC电池;热泵概念|13
221|002517|恺英网络|17.98|-1.21|游戏|33965778944|海峡西岸;通达信88;网络游戏;华为鸿蒙;NFT概念;IP经济;人工智能;腾讯概念;AI眼镜;虚拟现实;区块链;元宇宙;AIGC概念|13
222|002518|科士达|46.55|-1.13|其他发电设备|26307098624|数据中心;东数西算;液冷服务;抖音概念;粤港澳;人工智能;锂电池;光伏;风电;充电桩;储能;AI医疗|12
223|002531|天顺风能|12.02|1.52|风电设备|21477158912|氢能源;绿色电力;风电|3
224|002532|天山铝业|16.64|-4.09|工业金属|68338106368|锂电池;钠电池|2
225|002545|东方铁塔|23.99|-2.68|农用化工|27112626176|智能电网;风电;一带一路;化肥概念;特高压|5
226|002555|三七互娱|21.43|-2.5|游戏|34017099776|创投概念;网络游戏;养老概念;人脑工程;元宇宙;AI智能体;云游戏;多模态AI;NFT概念;ChatGPT;人工智能;虚拟现实;AIGC概念|13
227|002558|巨人网络|32.82|-2.06|游戏|62376443904|通达信88;创投概念;网络游戏;互联金融;元宇宙;AI智能体;阿里概念;百度概念;智能医疗;AIGC概念;华为鸿蒙;云游戏;旅游概念;DeepSeek;ChatGPT;人工智能;腾讯概念;虚拟现实|18
228|002565|顺灏股份|19.02|2.7|包装印刷|20160350208|卫星导航;新零售;一带一路;新型烟草;东数西算;新材料;工业大麻;烟草概念;商业航天|9
229|002594|比亚迪|102.98|-2.3|乘用车|359051460608|智能机器;车联网;DeepSeek;口罩防护;小米汽车;数据中心;高压快充;含H股;锂电池;光伏;充电桩;盐湖提锂;新能源车;汽车拆解;钠电池;锂矿;电池回收;芯片;储能;无人驾驶|20
230|002595|豪迈科技|87.45|-2.95|专用设备|69476220928|工业母机;通达信88;风电|3
231|002600|领益智造|14.06|0.21|消费电子|101225480192|液冷服务;小米概念;无线耳机;CPO概念;低空经济;新能源车;减速器;商业航天;储能;折叠屏;5G概念;稀土永磁;光伏;3D打印;碳纤维;苹果概念;充电桩;智能穿戴;智能机器;消费电子;英伟达;无人机;人工智能;人形机器;AI眼镜|25
232|002601|龙佰集团|16.91|-1.11|化学原料|33610362880|钴金属;固态电池;钛金属;氢能源;钒电池;天然气;锂电池;养老概念|8
233|002602|世纪华通|16.01|-8.93|游戏|108817211392|网络游戏;特斯拉;云游戏;算力租赁;DeepSeek;NFT概念;IP经济;人工智能;腾讯概念;虚拟现实;数据中心;东数西算;AIGC概念;人脑工程;元宇宙;新能源车|16
234|002603|以岭药业|17.04|0.41|中药|23456139264|幽门菌;创新药;智能医疗;口罩防护;仿制药;基因概念;生物疫苗;智能穿戴;养老概念|9
235|002608|江苏国信|7.62|-1.8|电力|28788967424|光伏;临界发电;工业互联;储能;虚拟电厂|5
236|002624|完美世界|15.21|-8.59|游戏|27799818240|AIGC概念;元宇宙;AI智能体;网络游戏;华为鸿蒙;云游戏;英伟达;短剧游戏;NFT概念;IP经济;人工智能;虚拟现实;区块链|13
237|002625|光启技术|39.18|0.9|航空装备|84416380928|智能机器;雄安新区;车联网;无人机;军民融合;人工智能;人形机器;低空经济;PEEK材料;商业航天;无人驾驶;东数西算;新材料;物联网;国防军工;碳纤维;石墨烯;智能穿戴|18
238|002636|金安国纪|44.9|-0.97|元器件|32521762816|PCB概念|1
239|002648|卫星化学|29.6|1.27|化学原料|99647881216|新材料;POE胶膜;氢能源;通达信88;锂电池;光伏;聚氨酯;互联金融;婴童概念;口罩防护;燃料电池|11
240|002653|海思科|58.53|5.4|化学制药|31418089472|仿制药;创新药;维生素|3
241|002670|国盛证券|12.64|0.32|证券|20519153664|区块链|1
242|002673|西部证券|7.18|0.42|证券|32091592704||0
243|002683|广东宏大|36.32|-0.63|化学制品|24209424384|雅江水电;低空经济;商业航天;粤港澳;无人机;军民融合;军贸概念;国防军工;卫星导航|9
244|002709|天赐材料|60.51|2.01|电池|91310260224|锂电池;特斯拉;固态电池;氟概念;有机硅;新材料;钠电池;电池回收;PEEK材料;储能|10
245|002714|牧原股份|44.7|0.18|养殖业|169868476416|通达信88;含H股;含可转债;猪肉;乡村振兴;合成生物|6
246|002716|湖南白银|11.56|1.23|贵金属|26875316224|黄金概念;稀土永磁|2
247|002736|国信证券|10.72|-3.6|证券|103045242880||0
248|002738|中矿资源|90.79|-0.56|能源金属|64572387328|稀缺资源;锂电池;稀土永磁;一带一路;特斯拉;锂矿;电池回收|7
249|002739|儒意电影|10.11|2.64|影视院线|21230114816|小红书;抖音概念;数据确权;华为鸿蒙;短剧游戏;IP经济;腾讯概念;网络游戏|8
250|002756|永兴材料|87.24|4.11|能源金属|33768673280|锂矿;国防军工;锂电池;核电核能;互联金融|5
251|002797|第一创业|7.63|1.46|证券|32064313344|区块链|1
252|002812|恩捷股份|82.95|-1.8|电池|68239396864|锂电池;充电桩;PVDF概念;新能源车;烟草概念;储能;消费电子;固态电池;人工智能|9
253|002821|凯莱英|125.56|-0.98|医疗服务|39808032768|创新药;减肥药;合成生物;CXO概念;含H股|5
254|002837|英维克|94.6|0.11|专用设备|80017850368|新能源车;阿里概念;芯片;储能;英伟达;腾讯概念;数据中心;东数西算;液冷服务;抖音概念;冷链物流;云计算;充电桩|13
255|002850|科达利|190.45|-0.08|电池|37914558464|新能源车;减速器;PEEK材料;储能;智能机器;固态电池;人形机器;含可转债;锂电池;特斯拉|10
256|002851|麦格米特|120.21|3.98|其他发电设备|55065305088|智能电网;光伏;风电;充电桩;石墨烯;一带一路;智能机器;智能家居;英伟达;车联网;新型工业;小米概念;新能源车;芯片;储能;折叠屏;数据中心;三代半导;高压快充;玻璃基板|20
257|002859|洁美科技|51|3.03|元器件|20700870656|超导概念;消费电子;固态电池;可控核变;含可转债;锂电池;一带一路;新材料;复合铜箔|9
258|002895|川恒股份|36.48|-4.25|农用化工|21704194048|锂电池;盐湖提锂;AI智能体;锂矿;磷概念;化肥概念|6
259|002916|深南电路|312.5|-0.64|元器件|207752986624|粤港澳;汽车电子;存储芯片;5G概念;苹果概念;数据中心;新能源车;先进封装;芯片;PCB概念|10
260|002920|德赛西威|103.07|-0.86|汽车零部件|61493813248|毫米雷达;智能机器;英伟达;车联网;汽车电子;华为汽车;小米汽车;百度概念;无人驾驶|9
261|002926|华西证券|8.72|-0.11|证券|22890000384||0
262|002938|鹏鼎控股|72.05|-1.06|元器件|166394675200|无线耳机;CPO概念;新能源车;商业航天;AI手机PC;PCB概念;无人驾驶;消费电子;汽车电子;人形机器;AI眼镜;虚拟现实;苹果概念;智能穿戴;MiniLED|15
263|002939|长城证券|8.89|-1.11|证券|32027645952||0
264|002945|华林证券|15.52|1.24|证券|41904001024|创投概念|1
265|002966|苏州银行|8.52|-0.35|地方性银行|37449494528||0
266|002969|嘉美包装|22.6|-0.53|包装印刷|24685731840|海峡西岸|1
267|003021|兆威机电|96.59|2.86|电机制造|20023521280|智能机器;汽车电子;新型工业;华为汽车;人形机器;小米概念;混合现实;新能源车;减速器;含H股;5G概念;充电桩|12
268|003022|联泓新科|24.09|-3.99|光伏设备|32146464768|锂电池;光伏;降解塑料;钠电池;先进封装;PEEK材料;芯片;固态电池;新材料;POE胶膜|10
269|003031|中瓷电子|123.52|-0.33|其他电子|42016153600|5G概念;卫星导航;充电桩;三代半导;光刻机;消费电子;汽车电子;6G概念;光通信;CPO概念;新能源车;商业航天;芯片;华为海思|14
270|003035|南网能源|7.4|-4.76|电力|28030302208|乡村振兴;虚拟电厂;绿色电力;绿色建筑;碳中和;智能电网;光伏;节能环保;风电|9
271|003816|中国广核|4.58|0.88|电力|180154925056|绿色电力;核污防治;DeepSeek;中特估;含H股;含可转债;核电核能;一带一路|8
272|600000|浦发银行|9.27|-1.17|全国性银行|308745142272|跨境支付|1
273|600004|白云机场|8.73|-3|航空机场|20661448704|免税概念;粤港澳;中特估|3
274|600007|中国国贸|21|-2.78|房地产开发|21152931840|物业管理;中特估|2
275|600008|首创环保|3.06|0.33|水务|22462205952|雄安新区;PPP概念;DeepSeek;人工智能;新型城镇;乡村振兴;医废处理;地下管网;汽车拆解;节能环保;智能机器;智慧城市;垃圾分类|13
276|600009|上海机场|27.24|-0.55|航空机场|55740653568|免税概念;中特估;上海自贸|3
277|600010|包钢股份|2.7|-2.17|普钢|84728152064|高铁;稀土永磁;风电;一带一路;工业互联;储能;氟概念;数据中心;雅江水电;人工智能|10
278|600011|华能国际|6.99|-0.43|电力|76873990144|雄安新区;临界发电;碳中和;含H股;核电核能;光伏;风电;绿色电力|8
279|600015|华夏银行|6.89|-4.7|全国性银行|106017972224|跨境支付|1
280|600016|民生银行|3.7|-1.07|全国性银行|131209854976|跨境支付;含H股|2
281|600018|上港集团|5|1.42|航运港口|116233584640|中特估;免税概念;通达信88;创投概念;上海自贸;一带一路;体育概念;航运概念|8
282|600019|宝钢股份|6.31|-2.62|普钢|137444966400|雅江水电;AI智能体;新能源车;中特估;核电核能;一带一路;特斯拉|7
283|600021|上海电力|17|-1.05|电力|47960993792|核电核能;光伏;风电;一带一路;氢能源;储能;虚拟电厂;绿色电力;临界发电|9
284|600023|浙能电力|5.7|-0.35|电力|76429770752|核电核能;一带一路;虚拟电厂;临界发电;可控核变;绿色电力|6
285|600025|华能水电|9.51|-0.94|电力|177181704192|绿色电力;水利建设;风电;DeepSeek|4
286|600026|中远海能|21.59|-0.69|航运港口|82516959232|中特估;航运概念;含H股;上海自贸;一带一路|5
287|600027|华电国际|4.99|-0.6|电力|45986230272|含H股;风电;临界发电;氢能源;储能;虚拟电厂;绿色电力|7
288|600028|中国石化|5.39|-0.55|石油化工|510715854848|中特估;含H股;可燃冰;页岩气;充电桩;一带一路;氢能源;天然气|8
289|600029|南方航空|5.41|-1.64|航空机场|72910397440|雄安新区;含H股;含可转债|3
290|600030|中信证券|27.22|-0.37|证券|331445698560|含H股;中特估|2
291|600031|三一重工|20.35|-0.73|工程机械|172453838848|工业互联;无人驾驶;雅江水电;含H股;高端装备;一带一路;智能机器|7
292|600032|浙江新能|9.87|-4.17|电力|23734145024|光伏;风电;氢能源;储能;绿色电力|5
293|600036|招商银行|38.27|-0.6|全国性银行|789469724672|跨境支付;通达信88;含H股;中特估|4
294|600038|中直股份|31.21|-1.58|航空装备|20877467648|国防军工;高端装备;无人机;军贸概念;低空经济;飞行汽车;大飞机|7
295|600039|四川路桥|8.19|-6.29|基础建设|71216889856|雅江水电;PPP概念;中特估;碳中和;锂电池;石墨烯;一带一路|7
296|600048|保利发展|6.14|0|房地产开发|73498517504|智能家居;租购同权;物业管理|3
297|600050|中国联通|4.52|-0.44|电信服务|140076646400|低空经济;商业航天;阿里概念;智能家居;量子科技;算力租赁;DeepSeek;6G概念;人工智能;国资云;中特估;区块链;大数据;物联网;5G概念;卫星导航;一带一路;数据中心;数据要素|19
298|600060|海信视像|25.6|2.15|黑色家电|33284323328|元宇宙;AI智能体;超清视频;MicroLED;芯片;智能穿戴;智能机器;智能家居;消费电子;多模态AI;DeepSeek;汽车电子;人工智能;AI眼镜;MiniLED;MCU芯片;数据要素|17
299|600061|国投资本|6.71|2.6|证券|42903642112|含可转债;上海自贸;雄安新区|3
300|600066|宇通客车|35.41|-1.42|商用车|78395588608|物联网;智能交通;氢能源;新能源车;电池回收;热管理;无人驾驶;车联网;DeepSeek;燃料电池;冷链物流|11
301|600085|同仁堂|27.77|1.39|中药|38085730304|创新药;智能医疗;DeepSeek;仿制药|4
302|600089|特变电工|26.82|-1.58|电网设备|135515889664|新能源车;工业互联;储能;虚拟电厂;雄安新区;消费电子;临界发电;特高压;数据中心;绿色电力;高压快充;雅江水电;智能电网;黄金概念;物联网;核电核能;水利建设;创投概念;光伏;碳纤维;风电;充电桩;一带一路|23
303|600095|湘财股份|8.88|0.34|证券|25389586432|基因概念;创投概念|2
304|600096|云天化|36.18|-1.36|农用化工|65955803136|碳中和;锂电池;氟概念;乡村振兴;磷概念;化肥概念|6
305|600098|广州发展|7.11|-1.8|电力|24926699520|绿色电力;氢能源;储能;天然气;临界发电;粤港澳;光伏;可燃冰;风电;充电桩|10
306|600100|同方股份|7.98|-0.13|IT设备|26735376384|AI智能体;工业互联;机器视觉;储能;物联网;锂电池;核电核能;创投概念;云计算;节能环保;食品安全;地热能;安防服务;网络游戏;信息安全;智能机器;智慧城市;数据中心;东数西算;绿色建筑;液冷服务;操作系统;工业母机;AIGC概念;数据要素;华为算力;智能家居;雄安新区;PPP概念;消费电子;华为鸿蒙;算力租赁;DeepSeek;ChatGPT;可控核变;人工智能;国资云;信创;区块链;大数据|40
307|600104|上汽集团|13.78|0.66|乘用车|158404919296|氢能源;换电概念;新能源车;电池回收;无人驾驶;一带一路;固态电池;车联网;DeepSeek;华为汽车;燃料电池|11
308|600105|永鼎股份|42.41|-2.1|通信设备|62003204096|超导概念;可控核变;光通信;华为汽车;大数据;CPO概念;低空经济;新能源车;商业航天;芯片;数据中心;东数西算;5G概念;国防军工;核电核能;3D打印;风电;一带一路;信息安全|19
309|600109|国金证券|8.97|-0.22|证券|33237125120|腾讯概念|1
310|600111|北方稀土|53.04|4.1|稀有金属|191743098880|新材料;氢能源;稀缺资源;国防军工;稀土永磁|5
311|600114|东睦股份|34.08|4.16|通用设备|21006350336|小米概念;低空经济;新能源车;减速器;折叠屏;AI医疗;数据中心;东数西算;液冷服务;新材料;光伏;3D打印;苹果概念;特斯拉;智能机器;消费电子;人形机器;AI眼镜;燃料电池|19
312|600115|中国东航|4.32|-0.92|航空机场|73547849728|中特估;大飞机;跨境电商;含H股;3D打印;上海自贸|6
313|600118|中国卫星|102.8|4.97|航天装备|121559883776|国防军工;水利建设;卫星导航;高端装备;一带一路;大飞机;无人机;军民融合;6G概念;低空经济;商业航天;芯片|12
314|600126|杭钢股份|8.74|-3.64|普钢|29516632064|光伏;云计算;汽车拆解;阿里概念;算力租赁;DeepSeek;国资云;智慧城市;数据中心;绿色电力;东数西算|11
315|600131|国网信通|17.14|-0.92|云服务|20497815552|智能电网;5G概念;光伏;云计算;数据中心;绿色电力;东数西算;数字孪生;雅江水电;AI智能体;储能;虚拟电厂;量子科技;华为鸿蒙;算力租赁;人工智能;国资云;国产软件|18
316|600132|重庆啤酒|55.01|-2.1|酿酒|26623254528||0
317|600141|兴发集团|32.64|-2.74|农用化工|39224786944|乡村振兴;芯片;磷概念;化肥概念;固态电池;氟概念;草甘膦;有机硅;稀缺资源;锂电池;智能机器|11
